medal,beer_name,brewery,city,state,category,year,macro_category,state_area,region,state_name,state_division
Bronze,Chocolate Thunder Porter,Watch City Brewing Co.,Waltham,MA,Chocolate / Cocoa Flavored Beers,1999,flavored,8257,Northeast,Massachusetts,New England
Gold,Denver Pale Ale,Great Divide Brewing Co.,Denver,CO,Classic English Style Pale Ale,1999,ale,104247,West,Colorado,Mountain
Silver,Flying Dog Doggie Style,Broadway Brewing,Denver,CO,Classic English Style Pale Ale,1999,ale,104247,West,Colorado,Mountain
Bronze,London Bridge Pale Ale,Arizona Roadhouse and Brewery,Tempe,AZ,Classic English Style Pale Ale,1999,ale,113909,West,Arizona,Mountain
Gold,Dark Starr,Starr Hill Brewing Co.,Charlottesville,VA,Classic Irish-Style Dry Stout,1999,stout,40815,South,Virginia,South Atlantic
Bronze,Reverend Sandi's Sinful Stout,Oskar Blues Brewery,Lyons,CO,Classic Irish-Style Dry Stout,1999,stout,104247,West,Colorado,Mountain
Gold,Anniversary Ale,Steelhead Brewing Co.,Eugene,OR,English Old Ale / English Strong Ale,1999,ale,96981,West,Oregon,Pacific
Bronze,Special Old Ale,Commonwealth Brewing Co.,Boston,MA,English Old Ale / English Strong Ale,1999,ale,8257,Northeast,Massachusetts,New England
Gold,Extra Special Bitter,Russian River Brewing Co.,Guerneville,CA,English-Style (Extra Special) Strong Bitter,1999,bitter,158693,West,California,Pacific
Silver,Settlers Ale,Crooked River Brewing Co.,Cleveland,OH,English-Style (Extra Special) Strong Bitter,1999,bitter,41222,North Central,Ohio,East North Central
Bronze,Saint Arnold Amber Ale,Saint Arnold Brewing Co.,Houston,TX,English-Style (Extra Special) Strong Bitter,1999,bitter,267339,South,Texas,West South Central
Silver,Dergy's Amber,Wilmington Brewing Co.,Wilmington,NC,English-Style Bitter,1999,bitter,52586,South,North Carolina,South Atlantic
Silver,Nut Brown Ale,Park Slope Brewing Co.,Brooklyn,NY,English-Style Brown Ale,1999,ale,49576,Northeast,New York,Middle Atlantic
Bronze,Old Elk Brown,Walnut Brewery,Louisville,CO,English-Style Brown Ale,1999,ale,104247,West,Colorado,Mountain
Gold,Atwater Dunkel,Atwater Block Brewing Co.,Detroit,MI,European-Style Dark / Munchner Dunkel,1999,munchner,58216,North Central,Michigan,East North Central
Silver,Black Forest Dark,HofbrauHaus Brewery & Biergarten at Station Casino,Kansas City,MO,European-Style Dark / Munchner Dunkel,1999,munchner,69686,North Central,Missouri,West North Central
Bronze,Penn Dark,Pennsylvania Brewing Co.,Pittsburgh,PA,European-Style Dark / Munchner Dunkel,1999,munchner,45333,Northeast,Pennsylvania,Middle Atlantic
Gold,Pilsner 500,Prescott Brewing Co.,Prescott,AZ,European-Style Pilsener,1999,pilsener,113909,West,Arizona,Mountain
Silver,Das Dort,Bob's House of Brews,Grand Rapids,MI,European-Style Pilsener,1999,pilsener,58216,North Central,Michigan,East North Central
Bronze,Ybor Gold,Ybor City Brewing Co.,Tampa,FL,European-Style Pilsener,1999,pilsener,58560,South,Florida,South Atlantic
Gold,Hempen-Roggen,Diamondback Brewing Co.,Cleveland,OH,Experimental Beer (Lager or Ale),1999,ale,41222,North Central,Ohio,East North Central
Silver,Old Conundrum Barley Wine,Flossmoor Station Brewing Co.,Flossmoor,IL,Experimental Beer (Lager or Ale),1999,ale,56400,North Central,Illinois,East North Central
Bronze,Burghead Pict Heather Ale,Alameda Brewing Co.,Portland,OR,Experimental Beer (Lager or Ale),1999,ale,96981,West,Oregon,Pacific
Silver,Obsidian Stout,Deschutes Brewery (No 2),Bend,OR,Foreign Style Stout,1999,stout,96981,West,Oregon,Pacific
Bronze,West Brothers Stout,West Brothers Brewery,Eugene,OR,Foreign Style Stout,1999,stout,96981,West,Oregon,Pacific
Bronze,Black Cherry Stout,Main Street Brewery,Las Vegas,NV,Fruit Beers (other than raspberry),1999,fruit,110540,West,Nevada,Mountain
Bronze,Old 8444,Union Colony Brewery,Greeley,CO,German-Style Brown Ale / Dusseldorf-Style Altbier,1999,ale,104247,West,Colorado,Mountain
Gold,Hogback Doppelbock,Mountain Sun Pub and Brewery,Boulder,CO,German-Style Doppelbock,1999,bock,104247,West,Colorado,Mountain
Bronze,Dopplebock,H.C. Berger Brewing,Fort Collins,CO,German-Style Doppelbock,1999,bock,104247,West,Colorado,Mountain
Gold,Skinny Atlas Light,Empire Brewing Co.,Rochester,NY,German-Style Kolsch / Koln-Style Kolsch,1999,other german-style,49576,Northeast,New York,Middle Atlantic
Silver,Osage Golden Wheat,Two Rows Restaurant & Brewery,Dallas,TX,German-Style Kolsch / Koln-Style Kolsch,1999,other german-style,267339,South,Texas,West South Central
Bronze,Red Lodge Reserve,Red Lodge Ales / H & H Brewing Co.,Red Lodge,MT,German-Style Kolsch / Koln-Style Kolsch,1999,other german-style,147138,West,Montana,Mountain
Gold,Black Forest Oktoberfest,Black Forest Brew Haus LLC,Farmingdale,NY,German-Style MC3=AFrzen /= Oktoberfest,1999,other german-style,49576,Northeast,New York,Middle Atlantic
Bronze,Tabernash Oktoberfest,Tabernash Brewing Co.,Longmont,CO,German-Style MC3=AFrzen / Oktoberfest,1999,other german-style,104247,West,Colorado,Mountain
Gold,Smooth Talker Pilsner,Local Color Brewing Co.,Novi,MI,German-Style Pilsener,1999,pilsener,58216,North Central,Michigan,East North Central
Silver,Stoudt's Pilsner,Stoudt's Brewing Co.,Adamstown,PA,German-Style Pilsener,1999,pilsener,45333,Northeast,Pennsylvania,Middle Atlantic
Bronze,Hometown Blonde,New Glarus Brewing Co.,New Glarus,WI,German-Style Pilsener,1999,pilsener,56154,North Central,Wisconsin,East North Central
Gold,Black Hole Lager,Brew Moon South Shore Mall Ventures,Braintree,MA,German-Style Schwarzbier,1999,schwarzbier,8257,Northeast,Massachusetts,New England
Gold,Hoffbrau Hefeweizen,Arizona Roadhouse and Brewery,Tempe,AZ,German-Style Wheat Ale,1999,ale,113909,West,Arizona,Mountain
Silver,Double Play Dunkel Weizen,Leinenkugel's Ballyard Brewery,Phoenix,AZ,German-Style Wheat Ale,1999,ale,113909,West,Arizona,Mountain
Bronze,Wild Pitch Hefeweizen,Sandlot Brewery at Coors Field,Denver,CO,German-Style Wheat Ale,1999,ale,104247,West,Colorado,Mountain
Gold,Blonde Ale,Goose Island Beer Co.,Chicago,IL,Golden Ale / Canadian Style Ale,1999,ale,56400,North Central,Illinois,East North Central
Silver,Golden Wheat Ale,Russian River Brewing Co. Dry Creek Valley,Guerneville,CA,Golden Ale / Canadian Style Ale,1999,ale,158693,West,California,Pacific
Bronze,Blonde Ale,Powerhouse Restaurant & Brewery,Sebastopol,CA,Golden Ale / Canadian Style Ale,1999,ale,158693,West,California,Pacific
Gold,Cerveza Chilibeso,Great Basin Brewing Co.,Sparks,NV,Herb and Spice Beers,1999,flavored,110540,West,Nevada,Mountain
Silver,Special B,Brew Moon Enterprises Inc,Boston,MA,Herb and Spice Beers,1999,flavored,8257,Northeast,Massachusetts,New England
Bronze,Great Pumpkin Spiced Ale,Cottonwood Brewery,Boone,NC,Herb and Spice Beers,1999,flavored,52586,South,North Carolina,South Atlantic
Gold,Old Rasputin,North Coast Brewing Co. Inc,Ft. Bragg,CA,Imperial Stout,1999,stout,158693,West,California,Pacific
Silver,John Wayne Imperial Stout,Newport Beach Brewing Co.,Newport Beach,CA,Imperial Stout,1999,stout,158693,West,California,Pacific
Bronze,Fat Cat,Liberty Street Brewing Co.,Akron,OH,Imperial Stout,1999,stout,41222,North Central,Ohio,East North Central
Gold,Racer 5 IPA,Bear Republic Brewing Co.,Healdsburg,CA,India Pale Ale,1999,ale,158693,West,California,Pacific
Silver,Marin IPA,Marin Brewing Co.,Larkspur,CA,India Pale Ale,1999,ale,158693,West,California,Pacific
Gold,Scarab Red,Oasis Brewery Annex,Boulder,CO,Irish-Style Red Ale,1999,ale,104247,West,Colorado,Mountain
Bronze,Badger Red Ale,J.T. Whitneys Pub & Brewery,Madison,WI,Irish-Style Red Ale,1999,ale,56154,North Central,Wisconsin,East North Central
Silver,Lucknow Munich-style Lager,Castle Springs Brewing Co.,Moultonborough,NH,Munchner-Style Helles,1999,munchner,9304,Northeast,New Hampshire,New England
Bronze,Penn Gold,Pennsylvania Brewing Co.,Pittsburgh,PA,Munchner-Style Helles,1999,munchner,45333,Northeast,Pennsylvania,Middle Atlantic
Bronze,O'Doul's,"Anheuser-Busch, Inc",Saint Louis,MO,Non-Alcoholic (Beer) Malt Beverage,1999,other,69686,North Central,Missouri,West North Central
Gold,Blast Furnace Stout,Church Brew Works,Pittsburgh,PA,Oatmeal Stout,1999,stout,45333,Northeast,Pennsylvania,Middle Atlantic
Silver,Farmer Jon's Oatmeal Stout,Heartland Brewery,New York,NY,Oatmeal Stout,1999,stout,49576,Northeast,New York,Middle Atlantic
Bronze,Ohio City Oatmeal Stout,Great Lakes Brewing Co/Ohio,Cleveland,OH,Oatmeal Stout,1999,stout,41222,North Central,Ohio,East North Central
Gold,Dragontooth Stout,Elysian Brewing Co.,Seattle,WA,Other Strong Ales & Lagers,1999,ale,68192,West,Washington,Pacific
Silver,Ricardo's Red Rocket,Bear Republic Brewing Co.,Healdsburg,CA,Other Strong Ales &amp; Lagers,1999,ale,158693,West,California,Pacific
Bronze,Bell's Expedition Stout,Kalamazoo Brewing,Kalamazoo,MI,Other Strong Ales & Lagers,1999,ale,58216,North Central,Michigan,East North Central
Gold,Widmer Widberry,Widmer Brothers Brewing Co.,Portland,OR,Raspberry Beers,1999,flavored,96981,West,Oregon,Pacific
Silver,Railway Razz,Willoughby Brewing Co. (The),Willoughby,OH,Raspberry Beers,1999,flavored,41222,North Central,Ohio,East North Central
Bronze,Blackberry Beauty,Bills Tavern and Brewhouse,Cannon Beach,OR,Raspberry Beers,1999,flavored,96981,West,Oregon,Pacific
Gold,Perseus Porter,Elysian Brewing Co.,Seattle,WA,Robust Porter,1999,porter,68192,West,Washington,Pacific
Silver,Muddy River Porter,Boston Beer Works,Boston,MA,Robust Porter,1999,porter,8257,Northeast,Massachusetts,New England
Bronze,Lazy Jake Porter,Long Valley Pub and Brewery,Long Valley,NJ,Robust Porter,1999,porter,7836,Northeast,New Jersey,Middle Atlantic
Silver,Tilted Kilt,Pyramid Alehouse/Breweries Inc,Seattle,WA,Scottish-Style Ale,1999,ale,68192,West,Washington,Pacific
Bronze,Kilt Lifter Scottish Amber,Four Peaks Brewing Co.,Tempe,AZ,Scottish-Style Ale,1999,ale,113909,West,Arizona,Mountain
Silver,Georgia Smoke,John HarvardE2=80=99s Br=ew House,Wayne,PA,Smoke-Flavored Beers,1999,flavored,45333,Northeast,Pennsylvania,Middle Atlantic
Gold,Island City Wild Rice Lager,Minocqua Brewing Co.,Minocqua,WI,Specialty Beers,1999,other,56154,North Central,Wisconsin,East North Central
Silver,Erie Nights Pumpkin Brew,Crooked River Brewing Co.,Cleveland,OH,Specialty Beers,1999,other,41222,North Central,Ohio,East North Central
Bronze,Captain Smith's Rye,Titanic Brewing Co.,Coral Gables,FL,Specialty Beers,1999,other,58560,South,Florida,South Atlantic
Gold,Nayati's Honey Ale,Wolf Canyon Brewing Co.,Santa Fe,NM,Specialty Honey Lagers or Ales,1999,ale,121666,West,New Mexico,Mountain
Gold,MacSpootin Scotch,Back Bay Brewing Co.,Boston,MA,Strong Scotch Ale,1999,ale,8257,Northeast,Massachusetts,New England
Bronze,Prescott's Wee Heavy,Bitter End Bistro & Brewery,Austin,TX,Strong Scotch Ale,1999,ale,267339,South,Texas,West South Central
Silver,Kickstart Stout,Barley Brothers Brewery,Lake Havasu City,AZ,Sweet Stout,1999,stout,113909,West,Arizona,Mountain
Silver,Snake River Lager,Snake River Brewing Co.,Jackson,WY,Vienna-Style Lager,1999,lager,97914,West,Wyoming,Mountain
Bronze,Vienna,Iron Hill Restaurant and Brewery,West Chester,PA,Vienna-Style Lager,1999,lager,45333,Northeast,Pennsylvania,Middle Atlantic
Bronze,Oregon IPA,Oregon Ale And Beer Co.,Cincinnati,OH,American-Style Amber Ale,1998,ale,41222,North Central,Ohio,East North Central
Silver,Black Star Amber Export,Great Northern Brewing Co.,Whitefish,MT,American-Style Amber Lager,1998,lager,147138,West,Montana,Mountain
Bronze,Sequoia Amber Lager,Sarasota Brewing Co.,Sarasota,FL,American-Style Amber Lager,1998,lager,58560,South,Florida,South Atlantic
Gold,Sweet Magnolia Brown,Gordon Biersch Brewery Restaurants,Chattanooga,TN,American-Style Brown Ale,1998,ale,42244,South,Tennessee,East South Central
Bronze,Hogan's Park Ave Ale,Custom Brewcrafters Inc,Honeoye Falls,NY,American-Style Brown Ale,1998,ale,49576,Northeast,New York,Middle Atlantic
Silver,Point Bock,Barton Beers Ltd,Chicago,IL,American-Style Dark Lager,1998,lager,56400,North Central,Illinois,East North Central
Bronze,Scottsdale Gulch Water,Hops Bistro And Brewery (No 1),Scottsdale,AZ,American-Style Dark Lager,1998,lager,113909,West,Arizona,Mountain
Gold,Rainier,Rainier Brewing Co. Inc,Seattle,WA,American-Style Lager,1998,lager,68192,West,Washington,Pacific
Silver,Old Milwaukee,Stroh Brewery Co. (The),Milwaukee,WI,American-Style Lager,1998,lager,56154,North Central,Wisconsin,East North Central
Bronze,Schlitz,Jos Schlitz Brewing Co.,Milwaukee,WI,American-Style Lager,1998,lager,56154,North Central,Wisconsin,East North Central
Gold,Ma Baker,Big House Brewing Co.,Albany,NY,American-Style Lager/Ale Or Cream Ale,1998,ale,49576,Northeast,New York,Middle Atlantic
Silver,Mt Uncanoonuc Golden Cream Ale,Stark Mill Brewery,Manchester,NH,American-Style Lager/Ale Or Cream Ale,1998,ale,9304,Northeast,New Hampshire,New England
Bronze,Lodgepole Lite,Prescott Brewing Co.,Prescott,AZ,American-Style Lager/Ale Or Cream Ale,1998,ale,113909,West,Arizona,Mountain
Gold,Coors Light,Coors Brewing Co.,Golden,CO,American-Style Light Lager,1998,lager,104247,West,Colorado,Mountain
Silver,Pabst Genuine Draft Light,Pabst Brewing Co.,San Antonio,TX,American-Style Light Lager,1998,lager,267339,South,Texas,West South Central
Bronze,Gluek Golden Light,Gluek Brewing Co./Reflo Inc,Cold Spring,MN,American-Style Light Lager,1998,lager,84068,North Central,Minnesota,West North Central
Gold,Sharptail Pale Ale,Montana Brewing Co.,Billings,MT,American-Style Pale Ale,1998,ale,147138,West,Montana,Mountain
Bronze,Piranha Pale Ale,Chicago Pizza/BJ's Brewery,Chandler,AZ,American-Style Pale Ale,1998,ale,113909,West,Arizona,Mountain
Gold,Special Export,City Brewing Co.,LaCrosse,WI,American-Style Premium Lager,1998,lager,56154,North Central,Wisconsin,East North Central
Silver,Miller Genuine Draft,Miller Brewing Co.,Milwaukee,WI,American-Style Premium Lager,1998,lager,56154,North Central,Wisconsin,East North Central
Bronze,Leinenkugel's Original Premium Lager,Jacob Leinenkugel Brewing Co.,Chippewa Falls,WI,American-Style Premium Lager,1998,lager,56154,North Central,Wisconsin,East North Central
Gold,Schlitz Malt Liquor,Jos Schlitz Brewing Co.,Milwaukee,WI,American-Style Specialty Lager,1998,lager,56154,North Central,Wisconsin,East North Central
Silver,New World Pilsner,Phantom Canyon Brewing Co.,Colorado Springs,CO,American-Style Specialty Lager,1998,lager,104247,West,Colorado,Mountain
Bronze,St Ides,McKenzie River Partners,San Francisco,CA,American-Style Specialty Lager,1998,lager,158693,West,California,Pacific
Gold,Widmer Hefewiezen,Widmer Brothers Brewing Co.,Portland,OR,American-Style Wheat Ale Or Lager,1998,ale,96981,West,Oregon,Pacific
Bronze,Sierra Nevada Wheat,Sierra Nevada Brewing Co.,Chico,CA,American-Style Wheat Ale Or Lager,1998,ale,158693,West,California,Pacific
Gold,Bearded Pat's Barley Wine,Bluegrass Brewing Co.,Louisville,KY,Barley Wine,1998,other,40395,South,Kentucky,East South Central
Silver,Code Blue,Pacific Coast Brewing Co.,Oakland,CA,Barley Wine,1998,other,158693,West,California,Pacific
Bronze,Old Bounder Barley Wine Ale,Boundary Bay Brewery,Bellingham,WA,Barley Wine,1998,other,68192,West,Washington,Pacific
Gold,Celis White Beer,Celis Brewery Inc,Austin,TX,Belgian & French Style Specialty Ales,1998,ale,267339,South,Texas,West South Central
Bronze,Jenna Grace Wit,Barley Brothers Brewery,Lake Havasu City,AZ,Belgian & French Style Specialty Ales,1998,ale,113909,West,Arizona,Mountain
Gold,Grand Cru Ale,Celis Brewery Inc,Austin,TX,Belgian Style Ales,1998,ale,267339,South,Texas,West South Central
Silver,Belgian Strong Ale,AleSmith Brewing Co.,San Diego,CA,Belgian Style Ales,1998,ale,158693,West,California,Pacific
Bronze,Abbey Belgian Style Ale,New Belgium Brewing Co.,Fort Collins,CO,Belgian Style Ales,1998,ale,104247,West,Colorado,Mountain
Silver,Saxer Helles Bock,Saxer Brewing Co.,Lake Oswego,OR,Bock,1998,bock,96981,West,Oregon,Pacific
Bronze,Goat Maibock,Backcountry Brewery,Frisco,CO,Bock,1998,bock,104247,West,Colorado,Mountain
Gold,Samuel Adams Boston Lager,Boston Beer Co.,Boston,MA,Bohemian Style Pilsener,1998,pilsener,8257,Northeast,Massachusetts,New England
Silver,Baderbrau Pilsner,Goose Island Beer Co.,Chicago,IL,Bohemian Style Pilsener,1998,pilsener,56400,North Central,Illinois,East North Central
Bronze,Prairie Dog Pils,Waterloo Brewing Co.,Austin,TX,Bohemian Style Pilsener,1998,pilsener,267339,South,Texas,West South Central
Gold,Coffee Porter,Wolf Tongue Brewery,Nederland,CO,Brown Porter,1998,porter,104247,West,Colorado,Mountain
Gold,Stoddard's Pale Ale,Stoddard's Brewhouse & Eatery,Sunnyvale,CA,Classic English Style Pale Ale,1998,ale,158693,West,California,Pacific
Silver,Urban Wilderness Pale Ale,Snow Goose Restaurant,Anchorage,AK,Classic English Style Pale Ale,1998,ale,589757,West,Alaska,Pacific
Gold,Bearbottom Stout,Rocky River Brewing Co.,Rocky River,OH,Classic Irish-Style Dry Stout,1998,stout,41222,North Central,Ohio,East North Central
Silver,Hortons Irish Stout,Cottonwood Brewery,Boone,NC,Classic Irish-Style Dry Stout,1998,stout,52586,South,North Carolina,South Atlantic
Bronze,Tahoe Stout,Lake Tahoe Brewing Co. Inc,Crystal Bay,NV,Classic Irish-Style Dry Stout,1998,stout,110540,West,Nevada,Mountain
Gold,Hogback Doppel Bock,Mountain Sun Pub and Brewery,Boulder,CO,Doppelbock,1998,bock,104247,West,Colorado,Mountain
Silver,Blue Ridge Sublimator Dopplebock,Frederick Brewing Co.,Frederick,MD,Doppelbock,1998,bock,10577,South,Maryland,South Atlantic
Bronze,Samuel Adams Double Bock,Boston Beer Co.,Boston,MA,Doppelbock,1998,bock,8257,Northeast,Massachusetts,New England
Gold,Resolution Ale,Village Brewery,Houston,TX,English Old Ale/Strong Ale,1998,ale,267339,South,Texas,West South Central
Silver,Special Old Ale,Commonwealth Brewing Co.,New York,NY,English Old Ale/Strong Ale,1998,ale,49576,Northeast,New York,Middle Atlantic
Bronze,Curmudgeon's Nip,Odell Brewing Co.,Fort Collins,CO,English Old Ale/Strong Ale,1998,ale,104247,West,Colorado,Mountain
Silver,Boundary Bay Best Bitter,Boundary Bay Brewery,Bellingham,WA,English Style (Extra Special) Strong Bitter,1998,bitter,68192,West,Washington,Pacific
Bronze,Houston Brewery IPA,Houston Brewery,Houston,TX,English Style (Extra Special) Strong Bitter,1998,bitter,267339,South,Texas,West South Central
Gold,Red Lady Ale,Crested Butte Brewery,Credted Butte,CO,English Style Bitter,1998,bitter,104247,West,Colorado,Mountain
Silver,Alien Ale,Il Vicino Brewing Co.,Albuquerque,NM,English Style Bitter,1998,bitter,121666,West,New Mexico,Mountain
Bronze,Phillips Ave Pale Ale,Sioux Falls Brewing Co.,Sioux Falls,SD,English Style Bitter,1998,bitter,77047,North Central,South Dakota,West North Central
Gold,Marblehead Mild,Salem Beer Works,Salem,MA,English Style Brown Ale,1998,ale,8257,Northeast,Massachusetts,New England
Bronze,Downtown Brown,Empire Brewing Co.,North Syracuse,NY,English Style Brown Ale,1998,ale,49576,Northeast,New York,Middle Atlantic
Gold,Pious Monk Dunkel,Lawrenceville Brewing Co.,Lawrenceville,PA,European Style Dark/Munchener Dunkel,1998,other,45333,Northeast,Pennsylvania,Middle Atlantic
Bronze,DeGroen's Dunkles,Baltimore Brewing Co.,Baltimore,MD,European Style Dark/Munchener Dunkel,1998,other,10577,South,Maryland,South Atlantic
Gold,Tabernash Golden Pilsener,Left Hand/Tabernash Brewing,Longmont,CO,European Style Pilsener,1998,pilsener,104247,West,Colorado,Mountain
Silver,Prescription Pils,Thunder Canyon Brewery,Tucson,AZ,European Style Pilsener,1998,pilsener,113909,West,Arizona,Mountain
Bronze,Zig Zag River Lager,Portland Brewing Co. (No 2),Portland,OR,European Style Pilsener,1998,pilsener,96981,West,Oregon,Pacific
Silver,Southampton Saison,Southampton Publick House,Southampton,NY,Experimental Beer (Lager Or Ale),1998,ale,49576,Northeast,New York,Middle Atlantic
Bronze,Brimstone Stone Beer,Brimstone Brewing Co.,Frederick,MD,Experimental Beer (Lager Or Ale),1998,ale,10577,South,Maryland,South Atlantic
Silver,Winter Warlock Oatmeal Stout,Bristol Brewing Co.,Colorado Springs,CO,Foreign Style Stout,1998,stout,104247,West,Colorado,Mountain
Bronze,Tsunami Stout,Pelican Pub & Brewery,Pacific City,OR,Foreign Style Stout,1998,stout,96981,West,Oregon,Pacific
Gold,Bees'n Berry,Thunder Canyon Brewery,Tucson,AZ,Fruit Beer,1998,fruit,113909,West,Arizona,Mountain
Silver,Cherry Bomber,Golden City Brewery,Golden,CO,Fruit Beer,1998,fruit,104247,West,Colorado,Mountain
Silver,Apple Ale,New Glarus Brewing Co.,New Glarus,WI,Fruit Beer,1998,fruit,56154,North Central,Wisconsin,East North Central
Gold,Otis Alt Bier,Elk Grove Brewery and Restaurant,Elk Grove,CA,German Style Brown Ale/Dusseldorf Style Alt,1998,ale,158693,West,California,Pacific
Bronze,Spalty Alt,Red Rock Brewing Co.,Salt Lake City,UT,German Style Brown Ale/Dusseldorf Style Alt,1998,ale,84916,West,Utah,Mountain
Silver,Copper Mesa Amber Ale,Wolf Canyon Brewing Co.,Santa Fe,NM,German Style Brown/Dusseldorf Style Alt,1998,other german-style,121666,West,New Mexico,Mountain
Gold,Paulina Pils,Deschutes Brewery (No 2),Bend,OR,German Style Pilsener,1998,pilsener,96981,West,Oregon,Pacific
Silver,Sunfest Ale,Pyramid Alehouse/Breweries Inc,Seattle,WA,German Style Pilsener,1998,pilsener,68192,West,Washington,Pacific
Bronze,Local Color Smooth Talker Pilsner,Local Color Brewing Co.,Novi,MI,German Style Pilsener,1998,pilsener,58216,North Central,Michigan,East North Central
Silver,Schwarzbier,Three Needs Brewery,Burlington,VT,German Style Schwarzbier,1998,schwarzbier,9609,Northeast,Vermont,New England
Bronze,Soma Swarz,Twenty Tank Brewery,San Francisco,CA,German Style Schwarzbier,1998,schwarzbier,158693,West,California,Pacific
Gold,Gudenteit Hefe-Weizen,Mickey Finn's Brewery,Libertyville,IL,German Style Wheat Ale,1998,ale,56400,North Central,Illinois,East North Central
Silver,Gudendark Dunkel-Weizen,Mickey Finn's Brewery,Libertyville,IL,German Style Wheat Ale,1998,ale,56400,North Central,Illinois,East North Central
Gold,Typhoon Golden Ale,Typhoon Brewery,New York,NY,Golden Ale/Canadian Style Ale,1998,ale,49576,Northeast,New York,Middle Atlantic
Silver,Eureka Golden Ale,Sophisticated Otter Brewing Co.,Johnson City,TN,Golden Ale/Canadian Style Ale,1998,ale,42244,South,Tennessee,East South Central
Bronze,Alaskan Pale Ale,Alaskan Brewing and Bottling Co.,Juneau,AK,Golden Ale/Canadian Style Ale,1998,ale,589757,West,Alaska,Pacific
Gold,Mocha Maddness,Copper Tank Brewing Co.,Dallas,TX,Herb/Spice Beers,1998,flavored,267339,South,Texas,West South Central
Silver,Rye Patch Ale,Great Basin Brewing Co.,Sparks,NV,Herb/Spice Beers,1998,flavored,110540,West,Nevada,Mountain
Bronze,Pancho Verde Chile Cerveza,Rikenjaks Brewing Co. Inc,Albuquerque,NM,Herb/Spice Beers,1998,flavored,121666,West,New Mexico,Mountain
Gold,Imperial Stout,Diamondback Brewing Co.,Cleveland,OH,Imperial Stout,1998,stout,41222,North Central,Ohio,East North Central
Silver,Inkwell Extra Stout,Offshore Ale Co.,Oak Bluffs,MA,Imperial Stout,1998,stout,8257,Northeast,Massachusetts,New England
Bronze,Moylan's Imperial Stout,Moylan's Brewing Co.,Novato,CA,Imperial Stout,1998,stout,158693,West,California,Pacific
Gold,Pike IPA,5280 Roadhouse & Brewery,Denver,CO,India Pale Ale,1998,ale,104247,West,Colorado,Mountain
Silver,Two Hearted Ale,Kalamazoo Brewing,Kalamazoo,MI,India Pale Ale,1998,ale,58216,North Central,Michigan,East North Central
Gold,Skinny Atlas Light,Empire Brewing Co.,North Syracuse,NY,Kolsch,1998,other,49576,Northeast,New York,Middle Atlantic
Silver,Tire Biter,Flying Dog Brewery,Denver,CO,Kolsch,1998,other,104247,West,Colorado,Mountain
Bronze,Kolsch,Brewers Alley,Frederick,MD,Kolsch,1998,other,10577,South,Maryland,South Atlantic
Gold,Oktoberfest,Nor'wester Brewery,Portland,OR,Marzen/Oktoberfest,1998,other,96981,West,Oregon,Pacific
Silver,Atwater Bloktokberfest,Atwater Block Brewing Co.,Detroit,MI,Marzen/Oktoberfest,1998,other,58216,North Central,Michigan,East North Central
Bronze,Franklinfest,Independence Brewing Co.,Philadelphia,PA,Marzen/Oktoberfest,1998,other,45333,Northeast,Pennsylvania,Middle Atlantic
Gold,Penn Gold,Pennsylvania Brewing Co.,Pittsburgh,PA,Munchener Helles,1998,other,45333,Northeast,Pennsylvania,Middle Atlantic
Silver,Glasscock Helles,Glasscock Brewing Co.,Edinburg,TX,Munchener Helles,1998,other,267339,South,Texas,West South Central
Bronze,Sudwerk Helles,Sudwerk Privatbrauerei Hubsch,Davis,CA,Munchener Helles,1998,other,158693,West,California,Pacific
Gold,Pabst NA,Pabst Brewing Co.,San Antonio,TX,Nonalcoholic Malt Beverages,1998,other,267339,South,Texas,West South Central
Silver,O'Doul's Amber,"Anheuser-Busch, Inc",Saint Louis,MO,Nonalcoholic Malt Beverages,1998,other,69686,North Central,Missouri,West North Central
Silver,Devil's Back Stout,Rock Bottom Breweries,South Denver,CO,Oatmeal Stout,1998,stout,104247,West,Colorado,Mountain
Silver,Ricardo's Red Rocket,Bear Republic Brewing Co.,Healdsburg,CA,Other Strong Ales,1998,ale,158693,West,California,Pacific
Gold,Oregon Trail Raspberry Wheat,High Noon Saloon & Brewery,Leavenworth,KS,Raspberry Beers,1998,flavored,82264,North Central,Kansas,West North Central
Bronze,Arrowhead Red Dark Berry Ale,Pony Express Brewing Co.,Olathe,KS,Raspberry Beers,1998,flavored,82264,North Central,Kansas,West North Central
Gold,Old Globe Porter,Jupiter Brewpub,Berkeley,CA,Robust Porter,1998,porter,158693,West,California,Pacific
Silver,Portage Porter,Snow Goose Restaurant,Anchorage,AK,Robust Porter,1998,porter,589757,West,Alaska,Pacific
Bronze,Porter,Russian River Brewing Co.,Santa Rosa,CA,Robust Porter,1998,porter,158693,West,California,Pacific
Silver,High Point Rapids Red Ale,High Point Brewing Corp,Denver,CO,Scottish Style Ale,1998,ale,104247,West,Colorado,Mountain
Bronze,Scottish Amber,Four Peaks Brewing Co.,Tempe,AZ,Scottish Style Ale,1998,ale,113909,West,Arizona,Mountain
Silver,Smoke,Rogue Ales,Newport,OR,Smoke Flavored Beers,1998,flavored,96981,West,Oregon,Pacific
Bronze,DeGroen's Rauchbock,Baltimore Brewing Co.,Baltimore,MD,Smoke Flavored Beers,1998,flavored,10577,South,Maryland,South Atlantic
